disturbance,transit_time,angular_width,MPA,avg_speed,final_speed,mass,BX,BZ_GSE,Plasma_Temp,Plasma_Speed,Plasma_flow_long,Alpha_Prot_ratio,flow_pressure
2000-05-21 07:26:00,60.5,138,271,629,490,9000000000000000,-4.3,2.2,117181,406,-1.6,0.055,1.24
2000-05-31 08:06:00,102,126,29,391,481,1900000000000000,2.6,1.8,145690,563,1.6,0.03,1.07
2000-06-06 15:54:00,40.5,90,4,929,1055,5800000000000000,-2.7,4.7,45467,444,-3.6,0.101,1.66
2000-06-20 09:10:00,75,102,246,545.5,571,1514320517225656,0.4,2.5,159342,371,5.1,0.061,1.14
2000-07-07 10:26:00,67.5,360,193,453,554,1800000000000000,-3,0.9,85988,382,3.2,0.066,1.88
2000-07-08 23:50:00,59,161,339,483,409,1514320517225656,-0.2,-3.5,82078,397,-0.4,0.033,1.22
2000-07-11 13:27:00,43.5,360,63,1078,850,1514320517225656,-2.5,-7.7,253285,477,2.7,0.084,1.78
2000-07-12 20:30:00,42,101,281,820,789,7400000000000000,-2.7,7,68589,477,3.3,0.116,1.22
2000-07-14 10:54:00,27,360,273,1674,1534,1.4E+016,-2.7,-6.9,411102,767,-0.2,0.04,19.65
2000-07-17 08:54:00,53,116,61,788,1060,7500000000000000,1.8,2.9,151201,625,-1,0.137,1.11
2000-07-22 11:54:00,86,229,275,1230,1175,8800000000000000,3.7,-0.7,44530,395,3.5,0.111,2.75
2000-07-23 05:30:00,84.5,181,166,631,516,3100000000000000,-3.8,-3.5,57299,419,-3.5,0.04,3.23
2000-07-25 03:30:00,74.5,360,168,528,494,1600000000000000,3.7,-0.7,33681,335,-2.1,0.04,0.49
2000-08-06 22:30:00,78,122,337,211,211,1514320517225656,-3.3,-0.5,109114,464,1.4,0.046,1.23
2000-08-09 16:30:00,49.5,360,12,702,731,7000000000000000,0.7,5.8,28994,373,-3,0.014,1.1
2000-08-12 14:54:00,54,161,309,876,974,1.1E+016,-3.8,7.9,47826,564,1.4,0.04,5.22
2000-08-29 18:30:00,98,122,343,769,765,1900000000000000,-2.5,1.5,121104,604,-0.1,0.051,2.13
2000-09-04 06:06:00,58,145,321,849,927,5400000000000000,-3.3,1.4,74304,444,0.6,0.023,1.47
2000-09-05 05:54:00,75.5,138,355,473,461,3200000000000000,-8.3,0.4,32377,366,1.3,0.029,1.37
2000-09-12 11:54:00,64,360,220,1550,1839,2.2E+016,-0.8,-7.6,110974,385,0.4,0.058,3.08
2000-09-16 05:18:00,35,360,3,1215,1162,9.6E+015,5.2,-0.2,73906,372,-0.3,0.042,4.35
2000-09-29 21:50:00,74,274,129,173,221,700000000000000,-5.5,-5.8,100292,360,2.5,0.047,2.49
2000-10-02 20:26:00,54.5,360,180,569,478,3900000000000000,-4,-3.4,116441,450,-3.3,0.055,5.07
2000-10-25 08:26:00,72.5,360,275,770,948,1.7E+016,0.8,4.5,138041,419,-1,0.03,0.82
2000-11-03 18:26:00,62,360,57,291,475,4800000000000000,4.8,3.2,49843,346,-3.8,0.037,2.85
2000-11-08 23:06:00,52,170,299,1738,1881,1514320517225656,3.2,-0.1,56455,435,-7.2,0.04,3.9
2000-11-24 15:30:00,37,360,324,1245,1219,1.4E+016,6.3,-2.9,204443,498,3.8,0.029,2.13
2000-11-25 01:32:00,75,360,82,2519,2510,1.2E+016,4.4,-0.7,122292,393,0.8,0.041,1.92
2000-12-18 11:50:00,103,360,335,510,372,1514320517225656,-0.1,-4.2,44377,365,-0.5,0.049,1.78
